Wall time,Step,Value
1701747704.003249,76,-25.212858200073242
1701747724.4648352,93,-28.75503921508789
1701747862.5505788,218,-26.49774932861328
1701747952.716546,296,-24.03130531311035
1701747978.598581,316,-23.87601089477539
1701748044.418947,377,-23.979598999023438
1701748068.593096,399,-25.086647033691406
1701748093.443629,422,-22.333690643310547
1701748136.982542,454,-19.704687118530273
1701748158.4965792,464,-26.62383460998535
1701748223.8396008,525,-18.120641708374023
1701748267.472127,558,-16.612239837646484
1701748502.246068,779,-17.659900665283203
1701748555.437846,825,-8.292795181274414
1701748714.8573608,971,-6.848315238952637
1701748737.304032,990,-6.064727306365967
1701748757.971553,1011,-6.247823238372803
1701748835.8534899,1077,-6.093044757843018
1701748888.0131872,1119,-5.748764991760254
1701748970.7236302,1195,-3.661911964416504
1701749048.679822,1255,-3.5805888175964355
1701749073.419942,1272,-3.9642956256866455
1701749100.006399,1299,-3.1891281604766846
1701749128.0077891,1330,-3.1313796043395996
1701749188.371857,1387,-3.0054025650024414
1701749219.844579,1418,-2.6728107929229736
1701749248.4184918,1442,-4.297059059143066
1701749299.621769,1479,-4.325824737548828
1701749324.1268969,1498,-2.702169895172119
1701749403.338484,1558,-1.3265174627304077
1701749505.247478,1636,-0.18639199435710907
1701749553.448842,1667,-0.27748242020606995
1701749633.784134,1742,-0.25549235939979553
1701749714.3003771,1807,-0.1737062782049179
1701749855.498157,1913,-0.06287014484405518
1701750126.994195,2136,0.07317806780338287
1701750209.002709,2203,0.0015241794753819704
1701750298.773189,2288,-0.22216945886611938
1701750323.577869,2302,-0.2789193391799927
1701750509.156588,2438,-0.00916895642876625
1701750535.9483788,2467,-0.057244881987571716
1701750586.292437,2505,-0.11335106194019318
1701750705.7075222,2610,-0.12434743344783783
1701750970.650056,2690,-0.021323807537555695
1701751917.934988,2756,-0.007772393524646759
1701751981.306001,2797,-0.153928741812706
1701752101.874808,2872,0.028635285794734955
1701752156.104224,2911,-0.00818813219666481
1701752347.253799,3064,-0.1431344598531723
1701752399.270745,3095,0.013263406231999397
1701752423.8321211,3121,-0.19645054638385773
