Wall time,Step,Value
1701747805.9263842,180,1.991060344153084e-05
1701747884.428544,248,1.987714131246321e-05
1701747904.740586,267,1.9867822629748844e-05
1701747928.001207,287,1.9858025552821346e-05
1701748103.2387898,444,1.9781629816861823e-05
1701748203.7721221,518,1.974592487385962e-05
1701748236.100945,545,1.973294456547592e-05
1701748257.1833448,561,1.972526661120355e-05
1701748349.335005,649,1.968318974832073e-05
1701748363.072531,664,1.9676042938954197e-05
1701748476.584927,773,1.9624354536063038e-05
1701748724.404625,991,1.9522185539244674e-05
1701748756.074293,1020,1.950871228473261e-05
1701748821.453067,1071,1.948508906934876e-05
1701748942.5354722,1183,1.9433509805821814e-05
1701749042.6538072,1263,1.9396915377001278e-05
1701749142.62743,1354,1.9355542463017628e-05
1701749185.0575411,1395,1.933698877110146e-05
1701749256.051413,1460,1.930768121383153e-05
1701749264.032667,1466,1.930498365254607e-05
1701749319.9830961,1507,1.928657184180338e-05
1701749384.351398,1557,1.9264194634160958e-05
1701749457.305721,1610,1.9240555047872476e-05
1701749806.1783721,1893,1.9115794202662073e-05
1701749893.7184472,1954,1.9089218767476268e-05
1701750015.002673,2065,1.904114287754055e-05
1701750169.4394398,2185,1.898957634693943e-05
1701750413.2529979,2366,1.891258216346614e-05
1701750471.752506,2421,1.8889370039687492e-05
1701750529.101451,2471,1.886834616016131e-05
1701750626.676907,2552,1.883442746475339e-05
1701750693.629189,2610,1.8810256733559072e-05
1701750710.2312179,2626,1.8803604689310305e-05
1701750742.419258,2649,1.879405499494169e-05
1701750798.657834,2690,1.877706563391257e-05
1701751886.4560158,2748,1.875311318144668e-05
1701751940.542499,2784,1.8738292055786587e-05
1701751977.3244119,2808,1.8728431314229965e-05
1701752227.301281,2974,1.866064667410683e-05
1701752325.701974,3058,1.8626624296302907e-05
1701752348.81889,3077,1.8618955436977558e-05
1701752403.6523688,3112,1.8604850993142463e-05
1701752427.711675,3135,1.8595601432025433e-05
1701752483.046823,3182,1.8576740330900066e-05
1701761316.12259,3271,1.854118272603955e-05
1701761447.528755,3385,1.8495935364626348e-05
1701761519.0738869,3460,1.846634768298827e-05
1701761564.7975411,3490,1.8454551536706276e-05
1701761576.945333,3496,1.845219412643928e-05
1701761643.2198558,3552,1.8430244381306693e-05
1701761720.9168131,3600,1.841149241954554e-05
1701761749.373068,3621,1.840330514824018e-05
1701761774.6461198,3645,1.839396463765297e-05
1701761776.062034,3647,1.8393186110188253e-05
1701761777.336965,3648,1.8392796846455894e-05
1701761839.663232,3695,1.837454692577012e-05
1701762119.39505,3930,1.8284101315657608e-05
1701762205.56997,4005,1.8255515897180885e-05
1701762302.145854,4077,1.8228200133307837e-05
1701762319.966932,4088,1.8224038285552524e-05
1701762326.616022,4094,1.82217681867769e-05
1701762344.234983,4110,1.8215721865999512e-05
1701762371.491061,4130,1.8208171240985394e-05
1701762757.088002,4431,1.8095657651429065e-05
1701762804.534454,4466,1.808270826586522e-05
1701767096.496138,4652,1.8014363377005793e-05
1701767299.944085,4817,1.795437856344506e-05
1701767377.4101582,4884,1.793018964235671e-05
1701767629.395263,5039,1.7874604964163154e-05
1701767634.539572,5043,1.7873178876470774e-05
1701767664.095019,5072,1.7862837921711616e-05
1701767711.719129,5118,1.7846474293037318e-05
1701767762.590336,5173,1.7826967450673692e-05
1701767775.890193,5186,1.7822367226472124e-05
1701767832.5352378,5248,1.780047023203224e-05
1701767878.493218,5290,1.7785683667170815e-05
1701767909.072304,5322,1.7774442312656902e-05
1701767976.8986502,5389,1.7750973711372353e-05
1701768030.140882,5443,1.7732127162162215e-05
1701768218.831711,5639,1.7664218830759637e-05
1701768280.327502,5699,1.7643586033955216e-05
1701768318.7982552,5736,1.7630898582865484e-05
1701768540.105952,5901,1.7574649973539636e-05
1701768565.8537998,5921,1.756787060003262e-05
1701768642.855575,5989,1.754487311700359e-05
1701768810.140886,6116,1.750216142681893e-05
1701768949.924198,6229,1.7464417396695353e-05
1701769021.374412,6283,1.7446467609261163e-05
1701769218.7459562,6445,1.7392949303030036e-05
1701769233.955161,6459,1.7388347259839065e-05
1701769253.527422,6473,1.7383747035637498e-05
1701769326.940746,6538,1.7362444850732572e-05
1701769375.104934,6576,1.735002842906397e-05
1701769512.6154408,6694,1.7311638657702133e-05
1701769540.955264,6716,1.7304508219240233e-05
1701769631.631804,6792,1.7279948224313557e-05
1701769761.4884129,6905,1.7243621186935343e-05
1701769829.774049,6961,1.7225704141310416e-05
1701769992.5273442,7112,1.7177668269141577e-05
1701770035.0018198,7150,1.7165642930194736e-05
1701770056.378602,7175,1.715774487820454e-05
1701770227.279757,7341,1.7105578081100248e-05
1701770301.97343,7403,1.708621857687831e-05
1701770391.030035,7492,1.705853719613515e-05
1701770410.022078,7512,1.705233626125846e-05
1701770443.1637278,7537,1.704459464235697e-05
1701770471.86065,7563,1.7036552890203893e-05
1701770498.571619,7586,1.7029449736583047e-05
1701770511.66224,7595,1.7026672139763832e-05
1701770576.018264,7647,1.7010652300086804e-05
1701771039.094053,8063,1.6884099750313908e-05
1701771174.915638,8186,1.684722155914642e-05
1701771197.236583,8202,1.68424412549939e-05
1701771211.721505,8216,1.6838263036333956e-05
1701771272.614263,8269,1.682247057033237e-05
1701771421.676279,8422,1.6777130440459587e-05
1701771504.663639,8490,1.6757096091168933e-05
1701771529.502538,8516,1.674945633567404e-05
1701771552.703903,8541,1.6742116713430732e-05
1701771602.992979,8587,1.672864345891867e-05
1701771627.439459,8606,1.6723086446290836e-05
1701771678.925689,8644,1.6711990610929206e-05
1701771681.788544,8645,1.6711697753635235e-05
1701771734.688724,8699,1.669596713327337e-05
1701771775.4153962,8745,1.668260301812552e-05
1701771781.923327,8751,1.668086406425573e-05
1701771847.883407,8811,1.666348362050485e-05
1701771943.416051,8898,1.6638381566735916e-05
1701772006.547267,8956,1.6621710528852418e-05
1701772217.9129212,9149,1.656659151194617e-05
1701772311.8657222,9238,1.6541358490940183e-05
1701772398.901484,9319,1.6518493794137612e-05
1701772424.8316422,9345,1.651117236178834e-05
1701772430.465106,9351,1.650948433962185e-05
1701772479.9985979,9404,1.6494599549332634e-05
1701772509.5661361,9429,1.6487592802150175e-05
1701772669.999191,9579,1.6445734217995778e-05
1701772764.306196,9658,1.642381539568305e-05
1701772780.368336,9674,1.6419386156485416e-05
1701772801.0652459,9690,1.641496055526659e-05
1701772808.250486,9698,1.641275048314128e-05
1701772853.16502,9742,1.640060690988321e-05
1701772906.388033,9784,1.6389038137276657e-05
1701772932.2992132,9810,1.6381889508920722e-05
1701772945.4190998,9823,1.637831883272156e-05
1701772957.724525,9836,1.6374751794501208e-05
1701772986.261104,9860,1.6368168871849775e-05
1701773005.7293901,9879,1.6362962924176827e-05
1701773032.254287,9903,1.6356394553440623e-05
1701773070.947454,9936,1.6347377822967246e-05
1701773101.110501,9959,1.634110049053561e-05
1701773106.221784,9964,1.6339739886461757e-05
1701773258.224571,10111,1.629980579309631e-05
1701773317.408813,10160,1.6286558093270287e-05
1701773331.180347,10175,1.6282510841847397e-05
1701773348.562926,10194,1.6277384929708205e-05
1701773419.828368,10266,1.6258012692560442e-05
1701773424.474654,10269,1.6257208699244075e-05
1701773442.896794,10282,1.625371805857867e-05
1701773486.4966972,10322,1.6242993297055364e-05
1701773620.6046212,10437,1.6212279660976492e-05
1701773623.510653,10440,1.6211477486649528e-05
1701773659.637731,10477,1.6201636753976345e-05
1701773673.917482,10487,1.619897739146836e-05
1701773712.371943,10527,1.6188361769309267e-05
1701773936.7263622,10715,1.6138743376359344e-05
1701773960.159798,10739,1.613244239706546e-05
1701773977.8187442,10757,1.612772211956326e-05
1701774005.55599,10782,1.612117193872109e-05
1701774057.788539,10828,1.6109139323816635e-05
1701774307.751111,11021,1.6058947949204594e-05
1701774560.496542,11210,1.6010249964892864e-05
1701774810.4733682,11393,1.5963516489136964e-05
1701775008.318558,11536,1.592728222021833e-05
1701775013.411242,11542,1.5925767002045177e-05
1701775185.297568,11676,1.5892046576482244e-05
1701775254.4316201,11748,1.5874016753514297e-05
1701775326.266711,11803,1.5860283383517526e-05
1701775466.1216059,11910,1.5833669749554247e-05
1701775487.3507981,11927,1.582945515110623e-05
1701775502.9394078,11942,1.582573531777598e-05
1701775762.249886,12125,1.578059709572699e-05
1701775799.3159308,12154,1.577347757120151e-05
1701775899.0436192,12232,1.5754381820443086e-05
1701775957.422432,12288,1.5740713934064843e-05
1701775970.558382,12300,1.573778899910394e-05
1701775971.8987432,12302,1.573730150994379e-05
1701775991.113193,12321,1.5732675819890574e-05
1701776002.123578,12331,1.573024201206863e-05
1701776013.687663,12340,1.5728053767816164e-05
1701776147.171333,12438,1.5704277757322416e-05
1701776277.386623,12523,1.5683743185945787e-05
1701776426.605334,12634,1.5657045878469944e-05
1701776469.124073,12672,1.564793819852639e-05
1701776484.337145,12683,1.5645304301870055e-05
1701776854.253681,12953,1.5581077605020255e-05
1701776870.446228,12974,1.5576117220916785e-05
1701776919.556127,13018,1.5565734429401346e-05
1701776945.887394,13043,1.5559844541712664e-05
1701776965.66672,13065,1.5554667697870173e-05
1701776969.41814,13069,1.555372728034854e-05
1701777014.419424,13104,1.5545501810265705e-05
1701777087.8926852,13165,1.5531199096585624e-05
1701777188.900426,13238,1.5514133338001557e-05
1701777231.678242,13272,1.5506206182180904e-05
1701777403.9104068,13432,1.5469055142602883e-05
1701777436.838073,13461,1.5462352166650817e-05
1701777608.76406,13619,1.5425974197569303e-05
1701777612.528922,13621,1.5425513993250206e-05
1701777671.298733,13679,1.5412226275657304e-05
1701777689.449136,13693,1.5409024854307063e-05
1701777738.8750489,13735,1.5399431504192762e-05
1701777843.902045,13826,1.537870048196055e-05
1701777993.6195352,13948,1.5351042748079635e-05
1701778151.686389,14090,1.5319037629524246e-05
1701778167.506371,14104,1.5315892596845515e-05
1701778176.3346188,14110,1.531454654468689e-05
1701778259.283226,14186,1.5297513527912088e-05
1701778318.86962,14235,1.5286561392713338e-05
1701778494.561993,14382,1.5253847777785268e-05
1701778507.97209,14396,1.5250743672368117e-05
1701778584.266698,14471,1.5234143575071357e-05
1701778631.907871,14512,1.5225091374304611e-05
1701778822.242174,14675,1.5189264559012372e-05
1701778868.09478,14713,1.518094813945936e-05
1701778881.018744,14722,1.5178981811914127e-05
1701778961.179462,14787,1.516479369456647e-05
1701779078.628599,14881,1.514434643468121e-05
1701779085.730677,14887,1.5143044038268272e-05
1701779220.915112,14996,1.5119442650757264e-05
1701779249.6503942,15012,1.5115987480385229e-05
1701779451.013859,15178,1.5080279808898922e-05
1701779630.5902562,15311,1.505185355199501e-05
1701779699.702361,15377,1.5037805496831425e-05
1701779743.427254,15412,1.5030373106128536e-05
1701779985.925301,15610,1.4988528164394666e-05
1701779991.026927,15615,1.4987475879024714e-05
1701780137.9584188,15737,1.4961871784180403e-05
1701780280.1379688,15850,1.4938274034648202e-05
