Wall time,Step,Value
1701747704.003249,76,256.0
1701747724.4648352,93,256.0
1701747862.5505788,218,256.0
1701747952.716546,296,256.0
1701747978.598581,316,256.0
1701748044.418947,377,256.0
1701748068.593096,399,256.0
1701748093.443629,422,256.0
1701748136.982542,454,256.0
1701748158.4965792,464,256.0
1701748223.8396008,525,256.0
1701748267.472127,558,256.0
1701748502.246068,779,256.0
1701748555.437846,825,256.0
1701748714.8573608,971,256.0
1701748737.304032,990,256.0
1701748757.971553,1011,256.0
1701748835.8534899,1077,256.0
1701748888.0131872,1119,256.0
1701748970.7236302,1195,256.0
1701749048.679822,1255,256.0
1701749073.419942,1272,256.0
1701749100.006399,1299,256.0
1701749128.0077891,1330,256.0
1701749188.371857,1387,256.0
1701749219.844579,1418,256.0
1701749248.4184918,1442,256.0
1701749299.621769,1479,256.0
1701749324.1268969,1498,256.0
1701749403.338484,1558,256.0
1701749505.247478,1636,256.0
1701749553.448842,1667,256.0
1701749633.784134,1742,256.0
1701749714.3003771,1807,256.0
1701749855.498157,1913,256.0
1701750126.994195,2136,256.0
1701750209.002709,2203,256.0
1701750298.773189,2288,256.0
1701750323.577869,2302,256.0
1701750509.156588,2438,256.0
1701750535.9483788,2467,256.0
1701750586.292437,2505,256.0
1701750705.7075222,2610,256.0
1701750970.650056,2690,256.0
1701751917.934988,2756,256.0
1701751981.306001,2797,256.0
1701752101.874808,2872,256.0
1701752156.104224,2911,256.0
1701752347.253799,3064,256.0
1701752399.270745,3095,256.0
1701752423.8321211,3121,256.0
1701752447.407179,3140,256.0
1701752529.064384,3200,256.0
1701761447.55455,3373,256.0
1701761470.1377878,3396,256.0
1701761543.250604,3466,256.0
1701761603.8498719,3508,256.0
1701761646.662873,3541,256.0
1701761763.3805282,3626,256.0
1701761830.158578,3677,256.0
1701761851.651839,3691,256.0
1701761933.5455842,3756,256.0
1701761955.592696,3774,256.0
1701761997.909486,3813,256.0
1701762023.864819,3837,256.0
1701762086.1027079,3888,256.0
1701762107.2089841,3907,256.0
1701762279.27894,4053,256.0
1701762299.756042,4064,256.0
1701762321.200966,4078,256.0
1701762366.42066,4115,256.0
1701762385.4717388,4130,256.0
1701762406.841578,4143,256.0
1701762489.792999,4212,256.0
1701762513.267367,4231,256.0
1701762653.372651,4341,256.0
1701762675.828463,4355,256.0
1701762717.7692611,4385,256.0
1701762765.5193548,4427,256.0
1701762786.121071,4442,256.0
1701767189.08153,4713,256.0
1701767253.048843,4763,256.0
1701767301.0040479,4807,256.0
1701767349.696398,4848,256.0
1701767636.623476,5033,256.0
1701767683.5713532,5076,256.0
1701767729.492529,5126,256.0
1701767775.93825,5174,256.0
1701767916.751158,5318,256.0
1701768033.325828,5434,256.0
1701768107.232192,5511,256.0
1701768185.2141929,5596,256.0
1701768210.744545,5618,256.0
