Wall time,Step,Value
1701747805.9263842,180,88.0
1701747884.428544,248,119.0
1701747904.740586,267,131.0
1701747928.001207,287,140.0
1701748103.2387898,444,219.0
1701748203.7721221,518,248.0
1701748236.100945,545,259.0
1701748257.1833448,561,265.0
1701748349.335005,649,314.0
1701748363.072531,664,324.0
1701748476.584927,773,386.0
1701748724.404625,991,497.0
1701748756.074293,1020,511.0
1701748821.453067,1071,537.0
1701748942.5354722,1183,603.0
1701749042.6538072,1263,645.0
1701749142.62743,1354,698.0
1701749185.0575411,1395,725.0
1701749256.051413,1460,767.0
1701749264.032667,1466,770.0
1701749319.9830961,1507,788.0
1701749384.351398,1557,813.0
1701749457.305721,1610,838.0
1701749806.1783721,1893,991.0
1701749893.7184472,1954,1019.0
1701750015.002673,2065,1087.0
1701750169.4394398,2185,1148.0
1701750413.2529979,2366,1239.0
1701750471.752506,2421,1272.0
1701750529.101451,2471,1300.0
1701750626.676907,2552,1345.0
1701750693.629189,2610,1381.0
1701750710.2312179,2626,1390.0
1701750742.419258,2649,1401.0
1701750798.657834,2690,1420.0
1701751886.4560158,2748,1453.0
1701751940.542499,2784,1472.0
1701751977.3244119,2808,1483.0
1701752227.301281,2974,1560.0
1701752325.701974,3058,1609.0
1701752348.81889,3077,1620.0
1701752403.6523688,3112,1634.0
1701752427.711675,3135,1647.0
1701752483.046823,3182,1673.0
1701761316.12259,3271,32.0
1701761447.528755,3385,87.0
1701761519.0738869,3460,134.0
1701761564.7975411,3490,141.0
1701761576.945333,3496,141.0
1701761643.2198558,3552,165.0
1701761720.9168131,3600,174.0
1701761749.373068,3621,181.0
1701761774.6461198,3645,191.0
1701761776.062034,3647,192.0
1701761777.336965,3648,192.0
1701761839.663232,3695,211.0
1701762119.39505,3930,314.0
1701762205.56997,4005,348.0
1701762302.145854,4077,375.0
1701762319.966932,4088,378.0
1701762326.616022,4094,380.0
1701762344.234983,4110,388.0
1701762371.491061,4130,396.0
1701762757.088002,4431,523.0
1701762804.534454,4466,536.0
1701767096.496138,4652,18.0
1701767299.944085,4817,89.0
1701767377.4101582,4884,123.0
1701767629.395263,5039,74.0
1701767634.539572,5043,76.0
1701767664.095019,5072,92.0
1701767711.719129,5118,117.0
1701767762.590336,5173,151.0
1701767775.890193,5186,158.0
1701767832.5352378,5248,198.0
1701767878.493218,5290,220.0
1701767909.072304,5322,238.0
1701767976.8986502,5389,274.0
1701768030.140882,5443,305.0
1701768218.831711,5639,425.0
1701768280.327502,5699,460.0
1701768318.7982552,5736,484.0
1701768540.105952,5901,569.0
1701768565.8537998,5921,579.0
1701768642.855575,5989,619.0
1701768810.140886,6116,689.0
1701768949.924198,6229,754.0
1701769021.374412,6283,783.0
1701769218.7459562,6445,880.0
1701769233.955161,6459,889.0
1701769253.527422,6473,897.0
1701769326.940746,6538,938.0
1701769375.104934,6576,963.0
1701769512.6154408,6694,1037.0
1701769540.955264,6716,1050.0
1701769631.631804,6792,1096.0
1701769761.4884129,6905,1161.0
1701769829.774049,6961,1193.0
1701769992.5273442,7112,1285.0
1701770035.0018198,7150,1309.0
1701770056.378602,7175,1326.0
1701770227.279757,7341,1437.0
1701770301.97343,7403,1470.0
1701770391.030035,7492,1529.0
1701770410.022078,7512,1544.0
1701770443.1637278,7537,1556.0
1701770471.86065,7563,1571.0
1701770498.571619,7586,1584.0
1701770511.66224,7595,1589.0
1701770576.018264,7647,1616.0
1701771039.094053,8063,1865.0
1701771174.915638,8186,1940.0
1701771197.236583,8202,1948.0
1701771211.721505,8216,1958.0
1701771272.614263,8269,1989.0
1701771421.676279,8422,2093.0
1701771504.663639,8490,2128.0
1701771529.502538,8516,2146.0
1701771552.703903,8541,2163.0
1701771602.992979,8587,2191.0
1701771627.439459,8606,2202.0
1701771678.925689,8644,2221.0
1701771681.788544,8645,2221.0
1701771734.688724,8699,2259.0
1701771775.4153962,8745,2292.0
1701771781.923327,8751,2296.0
1701771847.883407,8811,2333.0
1701771943.416051,8898,2385.0
1701772006.547267,8956,2419.0
1701772217.9129212,9149,2536.0
1701772311.8657222,9238,2592.0
1701772398.901484,9319,2641.0
1701772424.8316422,9345,2658.0
1701772430.465106,9351,2662.0
1701772479.9985979,9404,2696.0
1701772509.5661361,9429,2711.0
1701772669.999191,9579,2806.0
1701772764.306196,9658,2849.0
1701772780.368336,9674,2860.0
1701772801.0652459,9690,2868.0
1701772808.250486,9698,2873.0
1701772853.16502,9742,2902.0
1701772906.388033,9784,2926.0
1701772932.2992132,9810,2943.0
1701772945.4190998,9823,2951.0
1701772957.724525,9836,2958.0
1701772986.261104,9860,2972.0
1701773005.7293901,9879,2984.0
1701773032.254287,9903,2998.0
1701773070.947454,9936,3016.0
1701773101.110501,9959,3028.0
1701773106.221784,9964,3031.0
1701773258.224571,10111,3125.0
1701773317.408813,10160,3154.0
1701773331.180347,10175,3164.0
1701773348.562926,10194,3177.0
1701773419.828368,10266,3226.0
1701773424.474654,10269,3226.0
1701773442.896794,10282,3233.0
1701773486.4966972,10322,3256.0
1701773620.6046212,10437,3325.0
1701773623.510653,10440,3327.0
1701773659.637731,10477,3351.0
1701773673.917482,10487,3356.0
1701773712.371943,10527,3382.0
1701773936.7263622,10715,3494.0
1701773960.159798,10739,3508.0
1701773977.8187442,10757,3521.0
1701774005.55599,10782,3537.0
1701774057.788539,10828,3564.0
1701774307.751111,11021,3688.0
1701774560.496542,11210,3818.0
1701774810.4733682,11393,3942.0
1701775008.318558,11536,4037.0
1701775013.411242,11542,4042.0
1701775185.297568,11676,4137.0
1701775254.4316201,11748,4196.0
1701775326.266711,11803,4235.0
1701775466.1216059,11910,4309.0
1701775487.3507981,11927,4321.0
1701775502.9394078,11942,4332.0
1701775762.249886,12125,4456.0
1701775799.3159308,12154,4476.0
1701775899.0436192,12232,4532.0
1701775957.422432,12288,4577.0
1701775970.558382,12300,4586.0
1701775971.8987432,12302,4587.0
1701775991.113193,12321,4602.0
1701776002.123578,12331,4610.0
1701776013.687663,12340,4616.0
1701776147.171333,12438,4685.0
1701776277.386623,12523,4741.0
1701776426.605334,12634,4818.0
1701776469.124073,12672,4847.0
1701776484.337145,12683,4855.0
1701776854.253681,12953,116.0
1701776870.446228,12974,131.0
1701776919.556127,13018,154.0
1701776945.887394,13043,168.0
1701776965.66672,13065,182.0
1701776969.41814,13069,184.0
1701777014.419424,13104,199.0
1701777087.8926852,13165,228.0
1701777188.900426,13238,255.0
1701777231.678242,13272,271.0
1701777403.9104068,13432,356.0
1701777436.838073,13461,370.0
1701777608.76406,13619,452.0
1701777612.528922,13621,453.0
1701777671.298733,13679,486.0
1701777689.449136,13693,493.0
1701777738.8750489,13735,511.0
1701777843.902045,13826,555.0
1701777993.6195352,13948,609.0
1701778151.686389,14090,681.0
1701778167.506371,14104,688.0
1701778176.3346188,14110,690.0
1701778259.283226,14186,730.0
1701778318.86962,14235,752.0
1701778494.561993,14382,818.0
1701778507.97209,14396,827.0
1701778584.266698,14471,868.0
1701778631.907871,14512,890.0
1701778822.242174,14675,967.0
1701778868.09478,14713,985.0
1701778881.018744,14722,988.0
1701778961.179462,14787,1015.0
1701779078.628599,14881,1056.0
1701779085.730677,14887,1059.0
1701779220.915112,14996,1108.0
1701779249.6503942,15012,1109.0
1701779451.013859,15178,1184.0
1701779630.5902562,15311,1230.0
1701779699.702361,15377,1266.0
1701779743.427254,15412,1282.0
1701779985.925301,15610,1368.0
1701779991.026927,15615,1370.0
1701780137.9584188,15737,1423.0
1701780280.1379688,15850,1473.0
1701780349.8310761,15898,1485.0
1701780546.3244438,15931,16.0
1701780554.7586188,15941,21.0
1701780580.477227,15964,33.0
1701780622.425262,16007,58.0
1701780660.060784,16049,86.0
1701780745.879476,16135,136.0
1701780996.067275,16386,279.0
1701781112.272872,16502,345.0
1701781115.1599119,16504,346.0
1701781166.4991438,16558,378.0
1701781256.331396,16634,413.0
1701781319.750268,16692,443.0
1701781365.539083,16733,464.0
1701781399.713962,16763,479.0
1701781573.7564778,16942,586.0
1701781608.3952,16975,605.0
1701781713.211543,17066,659.0
1701781802.9692008,17162,723.0
1701781939.1832461,17293,817.0
1701781970.961409,17322,840.0
1701782076.610358,17414,909.0
1701782087.3571799,17421,913.0
1701782271.740845,17587,1037.0
1701782478.470488,17762,1167.0
1701782546.295042,17820,1208.0
1701782617.357217,17887,1259.0
1701783030.795905,18164,141.0
1701783039.64973,18171,144.0
1701783105.408566,18230,174.0
1701783162.6371698,18280,197.0
1701783220.494596,18336,227.0
