Wall time,Step,Value
1701747805.9263842,180,84.0
1701747884.428544,248,121.0
1701747904.740586,267,128.0
1701747928.001207,287,139.0
1701748103.2387898,444,215.0
1701748203.7721221,518,260.0
1701748236.100945,545,276.0
1701748257.1833448,561,286.0
1701748349.335005,649,325.0
1701748363.072531,664,330.0
1701748476.584927,773,377.0
1701748724.404625,991,484.0
1701748756.074293,1020,499.0
1701748821.453067,1071,524.0
1701748942.5354722,1183,569.0
1701749042.6538072,1263,607.0
1701749142.62743,1354,645.0
1701749185.0575411,1395,659.0
1701749256.051413,1460,682.0
1701749264.032667,1466,685.0
1701749319.9830961,1507,708.0
1701749384.351398,1557,733.0
1701749457.305721,1610,761.0
1701749806.1783721,1893,891.0
1701749893.7184472,1954,924.0
1701750015.002673,2065,967.0
1701750169.4394398,2185,1025.0
1701750413.2529979,2366,1115.0
1701750471.752506,2421,1136.0
1701750529.101451,2471,1157.0
1701750626.676907,2552,1193.0
1701750693.629189,2610,1215.0
1701750710.2312179,2626,1221.0
1701750742.419258,2649,1233.0
1701750798.657834,2690,1255.0
1701751886.4560158,2748,1280.0
1701751940.542499,2784,1296.0
1701751977.3244119,2808,1309.0
1701752227.301281,2974,1397.0
1701752325.701974,3058,1432.0
1701752348.81889,3077,1440.0
1701752403.6523688,3112,1461.0
1701752427.711675,3135,1471.0
1701752483.046823,3182,1492.0
1701761316.12259,3271,31.0
1701761447.528755,3385,90.0
1701761519.0738869,3460,118.0
1701761564.7975411,3490,141.0
1701761576.945333,3496,147.0
1701761643.2198558,3552,179.0
1701761720.9168131,3600,218.0
1701761749.373068,3621,231.0
1701761774.6461198,3645,245.0
1701761776.062034,3647,246.0
1701761777.336965,3648,246.0
1701761839.663232,3695,274.0
1701762119.39505,3930,406.0
1701762205.56997,4005,446.0
1701762302.145854,4077,491.0
1701762319.966932,4088,499.0
1701762326.616022,4094,503.0
1701762344.234983,4110,511.0
1701762371.491061,4130,523.0
1701762757.088002,4431,696.0
1701762804.534454,4466,718.0
1701767096.496138,4652,26.0
1701767299.944085,4817,119.0
1701767377.4101582,4884,152.0
1701767629.395263,5039,57.0
1701767634.539572,5043,59.0
1701767664.095019,5072,72.0
1701767711.719129,5118,93.0
1701767762.590336,5173,114.0
1701767775.890193,5186,120.0
1701767832.5352378,5248,142.0
1701767878.493218,5290,162.0
1701767909.072304,5322,176.0
1701767976.8986502,5389,206.0
1701768030.140882,5443,229.0
1701768218.831711,5639,305.0
1701768280.327502,5699,330.0
1701768318.7982552,5736,343.0
1701768540.105952,5901,423.0
1701768565.8537998,5921,433.0
1701768642.855575,5989,461.0
1701768810.140886,6116,518.0
1701768949.924198,6229,566.0
1701769021.374412,6283,591.0
1701769218.7459562,6445,656.0
1701769233.955161,6459,661.0
1701769253.527422,6473,667.0
1701769326.940746,6538,691.0
1701769375.104934,6576,704.0
1701769512.6154408,6694,748.0
1701769540.955264,6716,757.0
1701769631.631804,6792,787.0
1701769761.4884129,6905,835.0
1701769829.774049,6961,858.0
1701769992.5273442,7112,916.0
1701770035.0018198,7150,930.0
1701770056.378602,7175,938.0
1701770227.279757,7341,993.0
1701770301.97343,7403,1021.0
1701770391.030035,7492,1051.0
1701770410.022078,7512,1056.0
1701770443.1637278,7537,1069.0
1701770471.86065,7563,1080.0
1701770498.571619,7586,1090.0
1701770511.66224,7595,1094.0
1701770576.018264,7647,1119.0
1701771039.094053,8063,1285.0
1701771174.915638,8186,1333.0
1701771197.236583,8202,1341.0
1701771211.721505,8216,1345.0
1701771272.614263,8269,1367.0
1701771421.676279,8422,1416.0
1701771504.663639,8490,1449.0
1701771529.502538,8516,1457.0
1701771552.703903,8541,1465.0
1701771602.992979,8587,1483.0
1701771627.439459,8606,1491.0
1701771678.925689,8644,1510.0
1701771681.788544,8645,1511.0
1701771734.688724,8699,1527.0
1701771775.4153962,8745,1540.0
1701771781.923327,8751,1542.0
1701771847.883407,8811,1565.0
1701771943.416051,8898,1600.0
1701772006.547267,8956,1624.0
1701772217.9129212,9149,1700.0
1701772311.8657222,9238,1733.0
1701772398.901484,9319,1765.0
1701772424.8316422,9345,1774.0
1701772430.465106,9351,1776.0
1701772479.9985979,9404,1795.0
1701772509.5661361,9429,1805.0
1701772669.999191,9579,1860.0
1701772764.306196,9658,1896.0
1701772780.368336,9674,1901.0
1701772801.0652459,9690,1909.0
1701772808.250486,9698,1912.0
1701772853.16502,9742,1927.0
1701772906.388033,9784,1945.0
1701772932.2992132,9810,1954.0
1701772945.4190998,9823,1959.0
1701772957.724525,9836,1965.0
1701772986.261104,9860,1975.0
1701773005.7293901,9879,1982.0
1701773032.254287,9903,1992.0
1701773070.947454,9936,2007.0
1701773101.110501,9959,2018.0
1701773106.221784,9964,2020.0
1701773258.224571,10111,2073.0
1701773317.408813,10160,2093.0
1701773331.180347,10175,2098.0
1701773348.562926,10194,2104.0
1701773419.828368,10266,2127.0
1701773424.474654,10269,2130.0
1701773442.896794,10282,2136.0
1701773486.4966972,10322,2153.0
1701773620.6046212,10437,2199.0
1701773623.510653,10440,2200.0
1701773659.637731,10477,2213.0
1701773673.917482,10487,2218.0
