Wall time,Step,Value
1701937839.27394,116,1.994225021917373e-05
1701937870.957912,137,1.9931849237764254e-05
1701937941.581444,181,1.9910108676413074e-05
1701938081.4859169,268,1.986733332159929e-05
1701938315.776643,424,1.9791312297456898e-05
1701938418.586748,479,1.9764716853387654e-05
1701938475.352701,520,1.9744962628465146e-05
1701938515.654567,545,1.973294456547592e-05
1701938521.761664,549,1.9731025531655177e-05
1701938682.493718,638,1.968843389477115e-05
1701938687.9274828,642,1.968652577488683e-05
1701938709.02926,658,1.9678900571307167e-05
1701938861.852121,753,1.963380964298267e-05
1701939054.511868,869,1.9579165382310748e-05
1701939279.093287,1003,1.9516606698744e-05
1701939291.1952372,1011,1.9512890503392555e-05
1701939338.649912,1046,1.949666147993412e-05
1701939449.119703,1111,1.946662086993456e-05
1701939500.158795,1131,1.94574076886056e-05
1701939512.3577669,1138,1.945418625837192e-05
1701939519.555082,1141,1.9452805645414628e-05
1701939653.706934,1232,1.9411072571529076e-05
1701939690.395252,1259,1.9398741642362438e-05
1701939871.1223931,1369,1.9348750356584787e-05
1701939975.435898,1426,1.932299528561998e-05
1701940054.44047,1466,1.930498365254607e-05
1701940059.7719412,1469,1.930363396240864e-05
1701940082.524471,1483,1.9297342078061774e-05
1701940179.021922,1537,1.927313678606879e-05
1701940637.62461,1801,1.9156084817950614e-05
1701940710.915853,1845,1.9136785340378992e-05
1701940894.5720608,1965,1.908443846332375e-05
1701941572.237246,2344,1.892189175123349e-05
1701941582.546567,2351,1.891892679850571e-05
1701941651.176873,2400,1.889822306111455e-05
1701941701.672437,2437,1.8882636140915565e-05
1701941871.703537,2528,1.8844459191313945e-05
1701941957.697588,2575,1.8824832295649685e-05
1701941995.738662,2601,1.881400021375157e-05
1701942012.392993,2610,1.8810256733559072e-05
1701942069.780938,2647,1.8794884454109706e-05
1701942115.545534,2671,1.8784932763082907e-05
1701942207.618628,2722,1.8763837942969985e-05
1701942283.242971,2763,1.8746934074442834e-05
1701942422.608466,2847,1.871243875939399e-05
1701942494.853039,2891,1.8694447135203518e-05
1701942642.237935,2974,1.866064667410683e-05
1701942786.014323,3058,1.8626624296302907e-05
1701942813.8891,3078,1.861855162132997e-05
1701942877.452527,3114,1.86040488188155e-05
1701942952.662217,3154,1.8587970771477558e-05
1701943048.278463,3201,1.8569133317214437e-05
1701943144.397393,3252,1.8548756997915916e-05
1701943255.91957,3315,1.8523680409998633e-05
1701943426.889024,3403,1.8488819478079677e-05
1701943495.817759,3442,1.8473434465704486e-05
1701943578.70311,3492,1.845376391429454e-05
1701943579.349625,3493,1.845337283157278e-05
1701943664.192651,3550,1.8431026546750218e-05
1701943715.775981,3578,1.842007986851968e-05
1701943736.671838,3589,1.8415785234537907e-05
1701943753.138605,3600,1.841149241954554e-05
1701943762.864506,3609,1.8407981769996695e-05
1701943781.8816152,3622,1.840291588450782e-05
1701944160.768092,3828,1.8323195035918616e-05
1701944220.063526,3866,1.8308601283933967e-05
1701944338.691974,3940,1.8280283256899565e-05
1701944430.569236,3984,1.8263506717630662e-05
1701944480.690664,4009,1.8253997041028924e-05
1701944494.967957,4021,1.8249436834594235e-05
1701944527.7851892,4044,1.8240705685457215e-05
1701944615.862698,4097,1.8220633137389086e-05
1701944727.455507,4165,1.8194978110841475e-05
1701944796.9334452,4196,1.818332020775415e-05
1701945007.831393,4318,1.8137652659788728e-05
1701945234.363251,4444,1.8090844605467282e-05
1701945407.887989,4552,1.8051012375508435e-05
1701945481.657023,4591,1.8036693290923722e-05
1701945830.9452748,4739,1.7982660210691392e-05
1701945870.654838,4766,1.7972854038816877e-05
1701945871.054348,4767,1.7972490240936168e-05
1701945880.782036,4775,1.7969590771826915e-05
1701946059.05374,4903,1.7923348423209973e-05
1701946221.060124,4986,1.7893555195769295e-05
1701946269.576596,5016,1.788282133929897e-05
1701946290.920864,5029,1.787817745935172e-05
1701946364.426058,5077,1.786105895007495e-05
1701946452.424545,5139,1.7839018255472183e-05
1701946452.807412,5140,1.7838665371527895e-05
1701946468.356522,5150,1.783511834219098e-05
1701946513.345611,5181,1.782413528417237e-05
1701946677.596006,5282,1.77884976437781e-05
1701946755.933661,5331,1.7771284547052346e-05
1701946795.962462,5356,1.7762522475095466e-05
1701946897.20802,5419,1.774049633240793e-05
1701947295.2588952,5666,1.765492561389692e-05
1701947332.243065,5693,1.764564512996003e-05
1701947346.551382,5706,1.7641183148953132e-05
1701947355.983043,5713,1.7638782082940452e-05
1701947401.6507242,5747,1.7627133274800144e-05
1701947405.0136619,5748,1.7626789485802874e-05
1701947674.147674,5927,1.7565836969879456e-05
