Wall time,Step,Value
1701937839.27394,116,47.0
1701937870.957912,137,57.0
1701937941.581444,181,75.0
1701938081.4859169,268,112.0
1701938315.776643,424,177.0
1701938418.586748,479,192.0
1701938475.352701,520,212.0
1701938515.654567,545,223.0
1701938521.761664,549,224.0
1701938682.493718,638,248.0
1701938687.9274828,642,249.0
1701938709.02926,658,258.0
1701938861.852121,753,297.0
1701939054.511868,869,347.0
1701939279.093287,1003,410.0
1701939291.1952372,1011,414.0
1701939338.649912,1046,436.0
1701939449.119703,1111,464.0
1701939500.158795,1131,466.0
1701939512.3577669,1138,470.0
1701939519.555082,1141,470.0
1701939653.706934,1232,519.0
1701939690.395252,1259,534.0
1701939871.1223931,1369,590.0
1701939975.435898,1426,612.0
1701940054.44047,1466,629.0
1701940059.7719412,1469,630.0
1701940082.524471,1483,638.0
1701940179.021922,1537,661.0
1701940637.62461,1801,784.0
1701940710.915853,1845,805.0
1701940894.5720608,1965,872.0
1701941572.237246,2344,1035.0
1701941582.546567,2351,1037.0
1701941651.176873,2400,1065.0
1701941701.672437,2437,1088.0
1701941871.703537,2528,1127.0
1701941957.697588,2575,1147.0
1701941995.738662,2601,1160.0
1701942012.392993,2610,1164.0
1701942069.780938,2647,1181.0
1701942115.545534,2671,1191.0
1701942207.618628,2722,1213.0
1701942283.242971,2763,1231.0
1701942422.608466,2847,1273.0
1701942494.853039,2891,1293.0
1701942642.237935,2974,1329.0
1701942786.014323,3058,1367.0
1701942813.8891,3078,1378.0
1701942877.452527,3114,1394.0
1701942952.662217,3154,1410.0
1701943048.278463,3201,1427.0
1701943144.397393,3252,1446.0
1701943255.91957,3315,1474.0
1701943426.889024,3403,1511.0
1701943495.817759,3442,1528.0
1701943578.70311,3492,1552.0
1701943579.349625,3493,1553.0
1701943664.192651,3550,1585.0
1701943715.775981,3578,1598.0
1701943736.671838,3589,1602.0
1701943753.138605,3600,1608.0
1701943762.864506,3609,1614.0
1701943781.8816152,3622,1622.0
1701944160.768092,3828,1706.0
1701944220.063526,3866,1727.0
1701944338.691974,3940,1766.0
1701944430.569236,3984,1782.0
1701944480.690664,4009,1790.0
1701944494.967957,4021,1797.0
1701944527.7851892,4044,1810.0
1701944615.862698,4097,1835.0
1701944727.455507,4165,1869.0
1701944796.9334452,4196,1877.0
1701945007.831393,4318,1931.0
1701945234.363251,4444,1988.0
1701945407.887989,4552,2046.0
1701945481.657023,4591,2061.0
1701945830.9452748,4739,57.0
1701945870.654838,4766,70.0
1701945871.054348,4767,71.0
1701945880.782036,4775,76.0
1701946059.05374,4903,151.0
1701946221.060124,4986,181.0
1701946269.576596,5016,198.0
1701946290.920864,5029,205.0
1701946364.426058,5077,231.0
1701946452.424545,5139,267.0
1701946452.807412,5140,268.0
1701946468.356522,5150,274.0
1701946513.345611,5181,292.0
1701946677.596006,5282,343.0
1701946755.933661,5331,367.0
1701946795.962462,5356,379.0
1701946897.20802,5419,412.0
1701947295.2588952,5666,540.0
1701947332.243065,5693,557.0
1701947346.551382,5706,566.0
1701947355.983043,5713,571.0
