Wall time,Step,Value
1701937839.27394,116,61.0
1701937870.957912,137,72.0
1701937941.581444,181,97.0
1701938081.4859169,268,147.0
1701938315.776643,424,237.0
1701938418.586748,479,277.0
1701938475.352701,520,298.0
1701938515.654567,545,312.0
1701938521.761664,549,315.0
1701938682.493718,638,380.0
1701938687.9274828,642,383.0
1701938709.02926,658,390.0
1701938861.852121,753,445.0
1701939054.511868,869,510.0
1701939279.093287,1003,581.0
1701939291.1952372,1011,585.0
1701939338.649912,1046,598.0
1701939449.119703,1111,634.0
1701939500.158795,1131,651.0
1701939512.3577669,1138,654.0
1701939519.555082,1141,657.0
1701939653.706934,1232,699.0
1701939690.395252,1259,710.0
1701939871.1223931,1369,764.0
1701939975.435898,1426,799.0
1701940054.44047,1466,822.0
1701940059.7719412,1469,824.0
1701940082.524471,1483,830.0
1701940179.021922,1537,861.0
1701940637.62461,1801,1002.0
1701940710.915853,1845,1025.0
1701940894.5720608,1965,1078.0
1701941572.237246,2344,1292.0
1701941582.546567,2351,1296.0
1701941651.176873,2400,1317.0
1701941701.672437,2437,1331.0
1701941871.703537,2528,1383.0
1701941957.697588,2575,1410.0
1701941995.738662,2601,1422.0
1701942012.392993,2610,1427.0
1701942069.780938,2647,1446.0
1701942115.545534,2671,1459.0
1701942207.618628,2722,1488.0
1701942283.242971,2763,1511.0
1701942422.608466,2847,1553.0
1701942494.853039,2891,1576.0
1701942642.237935,2974,1621.0
1701942786.014323,3058,1667.0
1701942813.8891,3078,1676.0
1701942877.452527,3114,1696.0
1701942952.662217,3154,1720.0
1701943048.278463,3201,1749.0
1701943144.397393,3252,1781.0
1701943255.91957,3315,1816.0
1701943426.889024,3403,1867.0
1701943495.817759,3442,1888.0
1701943578.70311,3492,1914.0
1701943579.349625,3493,1914.0
1701943664.192651,3550,1939.0
1701943715.775981,3578,1954.0
1701943736.671838,3589,1961.0
1701943753.138605,3600,1966.0
1701943762.864506,3609,1969.0
1701943781.8816152,3622,1974.0
1701944160.768092,3828,2095.0
1701944220.063526,3866,2112.0
1701944338.691974,3940,2147.0
1701944430.569236,3984,2175.0
1701944480.690664,4009,2192.0
1701944494.967957,4021,2197.0
1701944527.7851892,4044,2207.0
1701944615.862698,4097,2234.0
1701944727.455507,4165,2268.0
1701944796.9334452,4196,2290.0
1701945007.831393,4318,2357.0
1701945234.363251,4444,2426.0
1701945407.887989,4552,2476.0
1701945481.657023,4591,2500.0
1701945830.9452748,4739,74.0
1701945870.654838,4766,88.0
1701945871.054348,4767,88.0
1701945880.782036,4775,91.0
1701946059.05374,4903,144.0
1701946221.060124,4986,197.0
1701946269.576596,5016,210.0
1701946290.920864,5029,216.0
1701946364.426058,5077,238.0
1701946452.424545,5139,264.0
1701946452.807412,5140,264.0
1701946468.356522,5150,268.0
1701946513.345611,5181,281.0
1701946677.596006,5282,331.0
1701946755.933661,5331,356.0
1701946795.962462,5356,368.0
1701946897.20802,5419,398.0
1701947295.2588952,5666,517.0
1701947332.243065,5693,527.0
1701947346.551382,5706,531.0
1701947355.983043,5713,533.0
1701947401.6507242,5747,546.0
1701947405.0136619,5748,547.0
1701947674.147674,5927,628.0
1701947683.428582,5932,630.0
1701947727.09163,5960,643.0
1701947746.902148,5973,650.0
1701947920.712694,6101,698.0
1701948028.07887,6174,730.0
1701948059.687063,6196,738.0
1701948113.9698932,6232,756.0
1701948130.979276,6242,760.0
1701948146.854039,6251,766.0
1701948267.970761,6316,805.0
1701948425.8483331,6412,851.0
1701948442.4706821,6422,856.0
1701948482.4862232,6454,868.0
1701948595.961885,6530,901.0
1701948670.828588,6578,923.0
1701948777.435612,6633,955.0
1701948833.127072,6671,972.0
