Wall time,Step,Value
1701937777.178859,70,-515.2086791992188
1701937802.318958,88,-574.5242919921875
1701937950.173971,174,-517.2125244140625
1701938064.670953,246,-537.6199951171875
1701938088.701378,262,-554.649658203125
1701938167.270045,310,-567.6953735351562
1701938193.785845,330,-556.9069213867188
1701938218.855702,349,-537.0713500976562
1701938271.7688582,382,-613.9588012695312
1701938297.208691,403,-476.51580810546875
1701938372.098638,441,-611.2484741210938
1701938425.6059399,474,-528.169189453125
1701938679.1852531,625,-497.97552490234375
1701938736.868852,666,-549.659912109375
1701938928.7091022,782,-601.2559204101562
1701938956.314701,798,-529.405517578125
1701938987.74771,814,-530.3574829101562
1701939085.184685,876,-590.1375122070312
1701939153.979392,926,-482.0836486816406
1701939213.129961,957,-470.61151123046875
1701939310.54275,1011,-570.60400390625
1701939374.682869,1056,-494.7267150878906
1701939405.825644,1071,-593.3856811523438
1701939439.968725,1095,-557.871826171875
1701939468.898271,1106,-624.0449829101562
1701939527.27213,1134,-589.6018676757812
1701939555.267062,1151,-558.1861572265625
1701939621.790113,1197,-506.9566955566406
1701939656.3635929,1222,-638.1834106445312
1701939756.190336,1289,-548.839111328125
1701939888.450301,1365,-519.4913940429688
1701939949.4859881,1399,-547.2022705078125
1701940044.448579,1449,-557.5571899414062
1701940145.254675,1506,-516.39501953125
1701940307.025932,1605,-567.4496459960938
1701940595.827519,1767,-523.8707885742188
1701940628.030323,1782,-596.0020141601562
1701940691.380474,1821,-581.8095703125
1701940833.464341,1917,-595.7135620117188
1701940995.454493,2010,-545.3296508789062
1701941115.764564,2080,-573.8763427734375
1701941248.2950442,2161,-567.08203125
1701941376.720734,2221,-589.7347412109375
1701941401.599704,2231,-563.5009155273438
1701941466.158159,2267,-566.3763427734375
1701941628.6148748,2372,-557.7352294921875
1701941697.190073,2422,-500.12457275390625
1701941764.355695,2460,-581.569580078125
1701942023.559121,2604,-605.8062133789062
1701942087.086646,2642,-638.8026733398438
1701942117.7624419,2660,-543.2061767578125
1701942151.288032,2677,-499.6197509765625
1701942381.128813,2809,-549.259033203125
1701942539.9148521,2904,-565.4837036132812
1701942571.657803,2922,-527.474365234375
1701942637.049429,2960,-682.6076049804688
1701942700.980185,2998,-543.589599609375
1701942889.222945,3110,-559.3489379882812
1701943048.674569,3190,-535.0340576171875
1701943173.042027,3257,-551.9505615234375
1701943205.3849092,3276,-581.4104614257812
1701943272.3785841,3312,-512.338623046875
1701943336.821342,3342,-554.0892944335938
1701943400.0557718,3380,-589.5528564453125
1701943433.069581,3394,-520.599853515625
1701943530.969346,3449,-595.7435302734375
1701943564.508482,3471,-555.4509887695312
1701943835.265822,3649,-553.21435546875
1701943863.6022651,3665,-576.2072143554688
1701943897.790268,3686,-631.8775634765625
1701943957.242843,3710,-582.1474609375
1701943988.536978,3729,-573.709716796875
1701944049.066827,3759,-583.3352661132812
1701944179.168371,3826,-517.5037231445312
1701944248.577757,3878,-613.8989868164062
1701944381.518006,3951,-722.556640625
1701944414.499056,3965,-606.9996948242188
1701944474.193392,3995,-560.5078125
1701944537.0400052,4037,-531.6676635742188
1701944636.223819,4100,-541.38525390625
1701945022.129281,4316,-614.472412109375
1701945117.6045399,4365,-594.1973266601562
1701945215.035025,4421,-543.043212890625
1701945248.4539971,4441,-534.8973999023438
1701945511.016193,4597,-567.5429077148438
1701945542.973254,4616,-504.7225646972656
1701945710.3862982,4654,-516.8453369140625
1701945795.436953,4708,-558.5264282226562
1701946108.1987479,4915,-517.4140014648438
1701946139.3487911,4932,-519.9513549804688
1701946168.919136,4946,-633.5707397460938
1701946235.410511,4984,-571.5453491210938
1701946337.093101,5045,-585.3460083007812
1701946508.848683,5166,-542.7804565429688
1701946599.9640572,5211,-523.94189453125
1701946671.8173819,5266,-486.14453125
1701946705.638101,5289,-599.1470947265625
1701946905.5198889,5410,-597.0592041015625
1701946937.292141,5435,-503.5096435546875
1701947004.628781,5473,-496.81988525390625
1701947040.3486872,5501,-519.0653686523438
1701947382.512552,5721,-575.8941650390625
1701947414.934162,5743,-553.1241455078125
1701947518.8131452,5819,-585.9595336914062
1701947643.5372522,5895,-494.0474548339844
1701947680.351268,5919,-593.3936767578125
1701947850.387603,6039,-603.2918701171875
1701948192.1111948,6261,-548.6488647460938
1701948388.9505322,6380,-499.76947021484375
1701948560.111624,6492,-528.3282470703125
1701948594.165067,6517,-537.8406982421875
1701948730.184483,6592,-600.6553344726562
1701948824.501654,6653,-537.6209716796875
1701948895.545836,6700,-561.806640625
1701948932.131053,6721,-528.7077026367188
1701949036.727644,6804,-519.7733764648438
1701949169.9886668,6886,-542.0333251953125
1701949232.0239182,6919,-552.5801391601562
1701949264.06834,6932,-558.7385864257812
1701949294.776045,6945,-512.1148071289062
1701949533.49576,7104,-595.1898803710938
1701949739.906941,7168,-581.33251953125
1701949769.823601,7190,-521.3370971679688
1701950057.760669,7392,-531.9002075195312
1701950169.0182998,7475,-523.87890625
1701950196.405898,7489,-573.9549560546875
1701950312.9104269,7578,-586.3529052734375
1701950394.895076,7629,-525.8369750976562
1701950452.5884092,7669,-591.492919921875
1701950619.918881,7772,-664.4325561523438
1701950678.033067,7817,-622.4202270507812
1701950736.106107,7863,-530.9176635742188
1701950788.575534,7890,-547.3048095703125
1701950815.1260061,7914,-576.179931640625
1701950847.675984,7940,-506.14825439453125
1701950982.478575,8025,-531.712890625
1701951010.6631439,8046,-497.38983154296875
1701951175.070787,8135,-544.9171752929688
1701951257.9721751,8192,-567.1366577148438
1701951363.5729978,8257,-593.0126342773438
1701951389.081429,8270,-582.9326782226562
1701951495.9099169,8337,-520.2449340820312
1701951521.514403,8352,-570.6036376953125
1701951574.738784,8386,-591.8410034179688
1701951598.2340212,8398,-514.2793579101562
1701951649.645377,8431,-550.5926513671875
1701951813.202903,8533,-566.3157958984375
1701951899.654495,8580,-514.7921752929688
1701951925.1466491,8596,-616.2262573242188
1701952004.7070441,8645,-529.9549560546875
1701952059.2076821,8679,-535.9013671875
1701952109.735776,8699,-556.5565185546875
1701952191.658535,8757,-585.8915405273438
1701952219.075926,8773,-524.18603515625
1701952297.431472,8817,-598.5078735351562
1701952352.732762,8850,-508.7604064941406
1701952513.0999591,8950,-539.0836181640625
1701952621.776781,9014,-543.2496948242188
1701952680.9084659,9051,-616.90478515625
1701952739.915989,9084,-540.0399780273438
1701952796.4348211,9126,-584.4116821289062
