Wall time,Step,Value
1701747704.003249,76,-703.9500122070312
1701747724.4648352,93,-702.0
1701747862.5505788,218,-696.3499755859375
1701747952.716546,296,-675.0999755859375
1701747978.598581,316,-691.4500122070312
1701748044.418947,377,-709.6500244140625
1701748068.593096,399,-700.4500122070312
1701748093.443629,422,-668.0999755859375
1701748136.982542,454,-671.7999877929688
1701748158.4965792,464,-699.75
1701748223.8396008,525,-716.2000122070312
1701748267.472127,558,-626.0
1701748502.246068,779,-643.0499877929688
1701748555.437846,825,-667.8499755859375
1701748714.8573608,971,-658.2999877929688
1701748737.304032,990,-699.3499755859375
1701748757.971553,1011,-702.7000122070312
1701748835.8534899,1077,-687.7000122070312
1701748888.0131872,1119,-675.0999755859375
1701748970.7236302,1195,-648.1500244140625
1701749048.679822,1255,-631.0499877929688
1701749073.419942,1272,-693.0
1701749100.006399,1299,-664.0999755859375
1701749128.0077891,1330,-650.2999877929688
1701749188.371857,1387,-631.1500244140625
1701749219.844579,1418,-619.0499877929688
1701749248.4184918,1442,-701.2000122070312
1701749299.621769,1479,-665.75
1701749324.1268969,1498,-658.4500122070312
1701749403.338484,1558,-666.75
1701749505.247478,1636,-636.3499755859375
1701749553.448842,1667,-641.1500244140625
1701749633.784134,1742,-614.5999755859375
1701749714.3003771,1807,-662.4000244140625
1701749855.498157,1913,-656.2999877929688
1701750126.994195,2136,-643.0
1701750209.002709,2203,-640.9500122070312
1701750298.773189,2288,-676.0499877929688
1701750323.577869,2302,-668.1500244140625
1701750509.156588,2438,-646.5999755859375
1701750535.9483788,2467,-698.5
1701750586.292437,2505,-639.1500244140625
1701750705.7075222,2610,-680.5
1701750970.650056,2690,-658.8499755859375
1701751917.934988,2756,-685.4500122070312
1701751981.306001,2797,-650.0499877929688
1701752101.874808,2872,-669.2000122070312
1701752156.104224,2911,-643.7000122070312
1701752347.253799,3064,-661.0999755859375
1701752399.270745,3095,-625.0999755859375
1701752423.8321211,3121,-641.5499877929688
1701752447.407179,3140,-683.5999755859375
1701752529.064384,3200,-645.5999755859375
1701761447.55455,3373,-631.6500244140625
1701761470.1377878,3396,-643.0499877929688
1701761543.250604,3466,-587.2999877929688
1701761603.8498719,3508,-583.6500244140625
1701761646.662873,3541,-606.5999755859375
1701761763.3805282,3626,-564.2999877929688
1701761830.158578,3677,-659.7999877929688
1701761851.651839,3691,-624.25
1701761933.5455842,3756,-608.9500122070312
1701761955.592696,3774,-606.0999755859375
1701761997.909486,3813,-653.8499755859375
1701762023.864819,3837,-631.7000122070312
1701762086.1027079,3888,-622.25
1701762107.2089841,3907,-574.9500122070312
1701762279.27894,4053,-574.9500122070312
1701762299.756042,4064,-620.0
1701762321.200966,4078,-580.8499755859375
1701762366.42066,4115,-636.4000244140625
1701762385.4717388,4130,-594.25
1701762406.841578,4143,-591.3499755859375
1701762489.792999,4212,-619.3499755859375
1701762513.267367,4231,-554.25
1701762653.372651,4341,-562.1500244140625
1701762675.828463,4355,-599.7999877929688
1701762717.7692611,4385,-546.2999877929688
1701762765.5193548,4427,-584.5
1701762786.121071,4442,-567.2999877929688
1701767189.08153,4713,-597.9000244140625
1701767253.048843,4763,-510.8500061035156
1701767301.0040479,4807,-569.8499755859375
1701767349.696398,4848,-627.4500122070312
1701767636.623476,5033,-579.0
1701767683.5713532,5076,-575.1500244140625
1701767729.492529,5126,-572.5
1701767775.93825,5174,-614.0
1701767916.751158,5318,-548.9000244140625
1701768033.325828,5434,-522.3499755859375
1701768107.232192,5511,-576.5499877929688
1701768185.2141929,5596,-550.9500122070312
1701768210.744545,5618,-618.0999755859375
1701768228.7396638,5636,-620.9500122070312
1701768399.560866,5787,-574.7000122070312
1701768454.29157,5825,-541.25
1701768480.68266,5847,-589.2999877929688
1701768585.3761458,5927,-577.0499877929688
